,Organization Name,NY Reg #,EIN,Registrant Type,City,State
84,Koinonia Ventures Inc,46-53-18,821443905,NFP,STATEN ISLAND,NY
85,"LUPUS FOUNDATION OF GENESEE VALLEY NY, INC.",03-68-42,222612041,NFP,PENFIELD,NY
86,"Markowitz Family Foundation, Inc.",40-37-51,205613149,NFP,BROOKLYN,NY
87,Matan Baseser Foundation,40-37-98,205125738,NFP,BROOKLYN,NY
88,"MONROE FOUNDATION, INC.",20-85-77,223236708,NFP,BRONX,NY
89,Nazee & Joseph Moinian Foundation,44-61-47,471035983,NFP,NEW YORK,NY
90,"Odyssey Sport Soccer Club, Inc.",41-30-39,300474221,NFP,SHERRILL,NY
91,PITTSBURGH FOUNDATION,21-31-05,250965466,NFP,PITTSBURGH,PA
92,"POETIC Foundation, Inc.",43-15-65,800688254,NFP,NEW YORK,NY
93,Riley Family Foundation (20-5973514),43-23-88,205973514,NFP,NORTHPORT,NY
94,"Sacred Music Chorale of Richmond Hill, Inc.",21-27-88,113457320,NFP,RICHMOND HILL,NY
95,S G of Rockland County Inc.,45-47-77,472138530,NFP,SPRING VALLEY,NY
97,STONE TRUST CORPORATION,40-25-60,060552923,NFP,STAMFORD,CT
98,"Thanc Foundation, Inc.",20-66-71,800062118,NFP,NEW YORK,NY
99,THE FRED STEIN FAMILY FOUNDATION,04-01-59,133389107,NFP,HAVERFORD,PA
100,The Humanitarian Resource Foundation International Inc. D/B/A Thrfi,43-53-81,460533581,NFP,GLEN COVE,NY
101,The New School of Syracuse,42-67-44,160986798,NFP,DEWITT,NY
102,University of Virginia Health Foundtion,40-44-88,412097394,NFP,CHARLOTTESVILLE,VA
103,Violin Player,41-40-19,270773158,NFP,EAST AMHERST,NY
104,"William A. Epps Community Center, Inc.",40-91-11,861074714,NFP,STATEN ISLAND,NY
105,"WORLD SOCIETY OF CZESTOCHOWA JEWS AND THEIR DESCENDENTS, INC.",40-46-49,205101779,NFP,NEW YORK,NY
106,"Yum-O Organization, Inc.",40-50-07,208107545,NFP,NEW YORK,NY
